index,food_price_index,meat,dairy,cereals,oil,sugar
164,57.81551479,61.44782973,53.61300349,59.89639592,57.08945295,42.26799976
165,58.9625389,63.65574866,55.22321614,60.52535775,59.33497306,37.03021089
166,60.61509398,63.56030227,57.5927651,60.59597196,67.38665883,36.87586331
167,62.01745906,62.85145279,58.55998643,64.77850472,68.83389281,37.62656494
168,62.87861102,62.53492406,59.7178506,65.67672643,71.56378627,38.89080338
169,64.6911639,67.17776376,60.94762088,66.92288497,71.21869198,35.92912592
170,65.47228122,65.13990494,64.32824776,67.48168079,76.06333012,36.16296583
171,67.08537068,67.59749816,65.24808043,68.46616512,76.73328079,39.96208113
172,67.66407743,67.53569313,65.81146313,70.24966811,76.45253651,40.69300622
173,66.77583326,67.0430253,67.76786818,68.84606489,73.51595748,39.22908139
174,66.4389092,69.86002671,70.74094548,66.39026459,66.06363235,42.88685774
175,65.84093676,71.55111129,72.56498935,60.70945305,64.81972209,48.97698282
176,64.77736572,69.81993484,72.74244704,59.09336885,65.44023197,46.88411767
177,65.41219325,70.16106973,73.3043964,59.97720176,66.27003741,47.57048742
178,64.90010651,68.2021453,73.79475609,59.33595437,65.80293522,52.30233981
179,65.69099268,69.23734463,75.12101921,60.02006363,66.93783393,50.50724982
180,66.04413688,69.90975087,75.81473677,60.52619769,66.02137322,51.04771096
181,65.81773197,69.90049344,76.21881756,60.49896336,63.14893798,53.96736246
182,66.23941712,71.11441563,76.66764719,60.27037833,62.26632198,56.33154727
183,67.50594389,71.71602599,77.00667738,61.54803978,66.74267313,54.96266033
184,65.96669904,70.40114558,76.17646356,59.54505268,65.07478932,53.1569532
185,66.54767815,72.58820521,76.51078968,59.36642199,64.22690057,53.13205153
186,67.38304693,73.64914393,76.36046465,60.16411971,64.63713856,56.01508581
187,67.66906439,72.64203444,77.0991157,61.18218108,64.43517446,59.65201501
188,67.63660945,72.79863037,78.34242864,60.94778954,62.50964335,61.48219458
189,68.63512238,73.8777674,78.74656267,61.53264342,64.00235215,63.80425733
190,69.54318231,73.7674094,78.49946709,62.07397202,66.80753884,68.82584777
191,69.04000314,74.10496854,77.96557629,60.59673004,65.44132747,70.43391405
192,69.77709867,74.38883268,76.92674117,61.47283845,63.49195563,82.58512343
193,69.80112611,71.20182269,74.33502425,62.74352302,63.67327271,97.45244957
194,70.80718523,68.84752853,74.45543302,64.79107313,64.98834716,111.0540638
195,69.78477113,67.95247189,73.06998019,63.92847484,65.15630922,106.6964964
196,70.10160507,67.36227024,71.60039967,65.12106362,66.75830034,108.2245076
197,71.3283631,68.98961215,71.25965795,67.78712247,68.28309273,104.0978055
198,71.39458098,71.34164216,71.00055587,67.78429956,67.93735982,95.30131532
199,73.17238569,72.65323413,71.28180874,69.85457889,70.44588721,99.32670516
200,73.06272062,74.78380233,70.29798391,69.64621691,73.54572924,83.24985121
201,73.1858998,75.34710546,70.34392992,72.53916249,71.7034921,74.77867211
202,75.1270277,74.25571764,71.90488977,79.8575429,72.69758564,72.03225542
203,77.65624075,72.61998633,75.39288215,85.33230129,78.34697736,72.8958436
204,78.80187225,71.32548713,81.69783662,85.35516442,83.00505254,71.60776172
205,78.48310272,70.69703387,84.24031081,85.10891731,82.27075996,67.75566551
206,80.04314376,72.21859947,88.28446236,87.0168414,82.87024234,65.41328807
207,81.11242078,73.86323321,91.77370071,86.42964367,84.41828569,64.6087727
208,83.86721106,75.75746995,102.0297265,85.07588982,92.75924978,60.15299527
209,86.47173131,77.54881395,105.2760049,86.56297462,100.2534585,58.35830714
210,91.38305704,78.82426023,121.0446681,91.94718046,104.9241153,57.49190598
211,95.54156924,79.90575718,135.0338955,94.85390283,108.5781594,62.93785617
212,99.110646,79.94641038,141.4954678,102.1385223,112.7981749,60.68306058
213,105.3105086,81.3533913,145.0935608,117.1577824,118.2471421,60.37665272
214,107.8620332,80.05192573,147.9713005,121.3337272,125.8505937,61.89117898
215,110.7583544,81.13451314,153.9910314,121.0379669,136.2503391,62.48918413
216,114.6592297,81.77931911,152.5594222,132.234047,138.5571516,66.27084841
217,120.4011638,82.79569743,150.6343671,140.9768698,154.0967524,74.13918553
218,128.3837854,80.5764599,149.878067,160.8264219,168.632379,83.60771257
219,132.3586789,85.59329578,152.632936,163.3315368,176.6016472,81.68925284
220,130.6620789,87.0113914,148.9489508,162.7358181,169.4050233,77.73137478
221,130.3023002,91.8343749,144.2598033,157.4407068,172.0181414,74.70178369
222,132.7260693,93.5701241,143.8982262,160.2872966,178.3161378,75.03800307
223,130.2073304,100.3850269,144.1179755,148.210395,164.7994291,88.06348999
224,121.2093618,102.0825942,133.5486456,136.5100777,135.6186167,90.3945217
225,112.7863464,100.9265833,120.5041686,125.3284698,120.5923983,83.73737805
226,97.78807979,95.65623285,106.9503961,104.9275047,92.21375072,73.64409915
227,89.72736955,87.90967683,97.7755885,95.99249979,82.02994902,74.8818151
228,86.30191522,81.79051356,94.89029124,95.13421694,78.55005828,72.71581219
229,86.66916732,78.06190153,88.19398325,100.3672917,82.7778664,77.4191328
230,84.48888211,75.95213245,82.56049181,97.2116477,82.2367459,81.87491023
